Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount	CacheHit
0.0355814	8	2	2	LastDelay	0.00417376	4173.76	1	4	0
0.0355814	8	2	2	FullDelay	0.00417376	4173.76	1	4	0
0.0376383	8	2	15	LastDelay	0.00626063	6260.63	1	6	0
0.0376383	8	2	15	FullDelay	0.00626063	6260.63	1	6	0
0.0404352	8	2	6964	LastDelay	0.0104352	10435.2	1	10	0
0.0404352	8	2	6964	FullDelay	0.0104352	10435.2	1	10	0
0.0407769	8	2	87	LastDelay	0.00417376	4173.76	1	4	0
0.0407769	8	2	87	FullDelay	0.00417376	4173.76	1	4	0
0.0424052	8	2	1128	LastDelay	0.0104352	10435.2	1	10	0
0.0424052	8	2	1128	FullDelay	0.0104352	10435.2	1	10	0
0.0433196	8	2	1877	LastDelay	0.00626111	6261.11	1	6	0
0.0433196	8	2	1877	FullDelay	0.00626111	6261.11	1	6	0
0.0435644	8	2	748	LastDelay	0.00834815	8348.15	1	8	0
0.0435644	8	2	748	FullDelay	0.00834815	8348.15	1	8	0
0.043937	8	2	2094	LastDelay	0.00834815	8348.15	1	8	0
0.043937	8	2	2094	FullDelay	0.00834815	8348.15	1	8	0
0.04643	8	2	1375	LastDelay	0.00626111	6261.11	1	6	0
0.04643	8	2	1375	FullDelay	0.00626111	6261.11	1	6	0
0.0476579	8	2	3554	LastDelay	0.00626111	6261.11	1	6	0
0.0476579	8	2	3554	FullDelay	0.00626111	6261.11	1	6	0
0.0480657	8	2	1388	LastDelay	0.0104352	10435.2	1	10	0
0.0480657	8	2	1388	FullDelay	0.0104352	10435.2	1	10	0
0.0495741	8	2	536	LastDelay	0.00834815	8348.15	1	8	0
0.0495741	8	2	536	FullDelay	0.00834815	8348.15	1	8	0
0.0514301	8	2	7124	LastDelay	0.0104352	10435.2	1	10	0
0.0514301	8	2	7124	FullDelay	0.0104352	10435.2	1	10	0
0.0515149	8	2	917	LastDelay	0.00632335	6323.35	1	6	0
0.0515149	8	2	917	FullDelay	0.00632335	6323.35	1	6	0
0.0518706	8	2	9	LastDelay	0.0104344	10434.4	1	10	0
0.0518706	8	2	9	FullDelay	0.0104344	10434.4	1	10	0
0.053657	8	2	60	LastDelay	0.00834751	8347.51	1	8	0
0.053657	8	2	60	FullDelay	0.00834751	8347.51	1	8	0
0.0542242	8	2	8878	LastDelay	0.00834815	8348.15	1	8	0
0.0542242	8	2	8878	FullDelay	0.00834815	8348.15	1	8	0
0.0546068	8	2	712	LastDelay	0.00626111	6261.11	1	6	0
0.0546068	8	2	712	FullDelay	0.00626111	6261.11	1	6	0
0.0546915	8	2	4528	LastDelay	0.00424329	4243.29	1	4	0
0.0546915	8	2	4528	FullDelay	0.00424329	4243.29	1	4	0
0.0549611	8	2	3959	LastDelay	0.0104352	10435.2	1	10	0
0.0549611	8	2	3959	FullDelay	0.0104352	10435.2	1	10	0
0.0559539	8	2	761	LastDelay	0.00834815	8348.15	1	8	0
0.0559539	8	2	761	FullDelay	0.00834815	8348.15	1	8	0
0.0562181	8	2	1517	LastDelay	0.0104352	10435.2	1	10	0
0.0562181	8	2	1517	FullDelay	0.0104352	10435.2	1	10	0
0.05861	8	2	2	LastDelay	0	0	1	0	1
0.05861	8	2	2	FullDelay	0	0	1	0	1
