Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount	CacheHit
0.0364259	8	2	2	LastDelay	0.00417376	4173.76	1	4	0
0.0364259	8	2	2	FullDelay	0.00417376	4173.76	1	4	0
0.0384649	8	2	15	LastDelay	0.00626063	6260.63	1	6	0
0.0384649	8	2	15	FullDelay	0.00626063	6260.63	1	6	0
0.0404352	8	2	6964	LastDelay	0.0104352	10435.2	1	10	0
0.0404352	8	2	6964	FullDelay	0.0104352	10435.2	1	10	0
0.0435872	8	2	1128	LastDelay	0.0104352	10435.2	1	10	0
0.0435872	8	2	1128	FullDelay	0.0104352	10435.2	1	10	0
0.0447389	8	2	87	LastDelay	0.00417376	4173.76	1	4	0
0.0447389	8	2	87	FullDelay	0.00417376	4173.76	1	4	0
0.0466942	8	2	748	LastDelay	0.00834815	8348.15	1	8	0
0.0466942	8	2	748	FullDelay	0.00834815	8348.15	1	8	0
0.0472903	8	2	2094	LastDelay	0.00834815	8348.15	1	8	0
0.0472903	8	2	2094	FullDelay	0.00834815	8348.15	1	8	0
0.0475546	8	2	1877	LastDelay	0.00626111	6261.11	1	6	0
0.0475546	8	2	1877	FullDelay	0.00626111	6261.11	1	6	0
0.0525313	8	2	1375	LastDelay	0.00626111	6261.11	1	6	0
0.0525313	8	2	1375	FullDelay	0.00626111	6261.11	1	6	0
0.0526439	8	2	1388	LastDelay	0.0104352	10435.2	1	10	0
0.0526439	8	2	1388	FullDelay	0.0104352	10435.2	1	10	0
0.0544959	8	2	3554	LastDelay	0.00626111	6261.11	1	6	0
0.0544959	8	2	3554	FullDelay	0.00626111	6261.11	1	6	0
0.0563097	8	2	536	LastDelay	0.00834815	8348.15	1	8	0
0.0563097	8	2	536	FullDelay	0.00834815	8348.15	1	8	0
0.0580271	8	2	7124	LastDelay	0.0104352	10435.2	1	10	0
0.0580271	8	2	7124	FullDelay	0.0104352	10435.2	1	10	0
0.0587323	8	2	9	LastDelay	0.0104344	10434.4	1	10	0
0.0587323	8	2	9	FullDelay	0.0104344	10434.4	1	10	0
0.0605675	8	2	917	LastDelay	0.00626111	6261.11	1	6	0
0.0605675	8	2	917	FullDelay	0.00626111	6261.11	1	6	0
0.0628428	8	2	60	LastDelay	0.00834751	8347.51	1	8	0
0.0628428	8	2	60	FullDelay	0.00834751	8347.51	1	8	0
0.0636767	8	2	3959	LastDelay	0.0104352	10435.2	1	10	0
0.0636767	8	2	3959	FullDelay	0.0104352	10435.2	1	10	0
0.0637614	8	2	8878	LastDelay	0.00835966	8359.66	1	8	0
0.0637614	8	2	8878	FullDelay	0.00835966	8359.66	1	8	0
0.0656143	8	2	712	LastDelay	0.00626111	6261.11	1	6	0
0.0656143	8	2	712	FullDelay	0.00626111	6261.11	1	6	0
0.065699	8	2	1517	LastDelay	0.0104464	10446.4	1	10	0
0.065699	8	2	1517	FullDelay	0.0104464	10446.4	1	10	0
0.0657669	9	2	2869	LastDelay	0.00417408	4174.08	1	4	0
0.0657669	9	2	2869	FullDelay	0.00417408	4174.08	1	4	0
0.0665174	8	2	761	LastDelay	0.00834815	8348.15	1	8	0
0.0665174	8	2	761	FullDelay	0.00834815	8348.15	1	8	0
0.0666522	9	2	7230	LastDelay	0.00417408	4174.08	1	4	0
